Temps 	Amplitude 

0   0

9.2E-6	69.615

9.2184E-6	69.7237

9.2368E-6	69.6831

9.2552E-6	69.5982

9.2736E-6	69.3986

9.292E-6	69.2379

9.3104E-6	69.1848

9.3288E-6	69.3125

9.3472E-6	69.4949

9.3656E-6	69.793

9.384E-6	70.0676

9.4024E-6	70.1953

9.4208E-6	69.9596

9.4392E-6	69.5468

9.4576E-6	69.1827

9.476E-6	69.1233

9.4944E-6	69.3557

9.5128E-6	69.6404

9.5312E-6	69.618

9.5496E-6	69.4347

9.568E-6	69.4643

9.5864E-6	69.8534

9.6048E-6	70.3212

9.6232E-6	70.6893

9.6416E-6	70.8146

9.66E-6	70.7495

9.6784E-6	70.556

9.6968E-6	70.3542

9.7152E-6	69.9697

9.7336E-6	69.6133

9.752E-6	69.4249

9.7704E-6	69.4863

9.7888E-6	69.5907

9.8072E-6	69.6882

9.8256E-6	69.6304

9.844E-6	69.5821

9.8624E-6	69.6456

9.8808E-6	69.7818

9.8992E-6	69.8613

9.9176E-6	69.8357

9.936E-6	69.5601

9.9544E-6	69.3754

9.9728E-6	69.4361

9.9912E-6	69.6895

1.00096E-5	69.9199

1.0028E-5	70.0474

1.00464E-5	69.8485

1.00648E-5	69.5905

1.00832E-5	69.506

1.01016E-5	69.5287

1.012E-5	69.5056

1.01384E-5	69.5654

1.01568E-5	69.5759

1.01752E-5	69.5976

1.01936E-5	69.6115

1.0212E-5	69.5956

1.02304E-5	69.4931

1.02488E-5	69.5101

1.02672E-5	69.6245

1.02856E-5	69.7854

1.0304E-5	70.0321

1.03224E-5	70.3276

1.03408E-5	70.6288

1.03592E-5	70.9294

1.03776E-5	71.0485

1.0396E-5	70.9669

1.04144E-5	70.7593

1.04328E-5	70.6118

1.04512E-5	70.3961

1.04696E-5	70.2397

1.0488E-5	70.1903

1.05064E-5	70.3115

1.05248E-5	70.4838

1.05432E-5	70.4924

1.05616E-5	70.187

